CMB31.Poly	CMB9.Poly	Ctrl6.Poly	CX2.Poly	EV12.Poly	CMB8.Poly	Ctrl33.Poly	Ctrl38.Poly	EV26.Poly	EV4.Poly	CX14.Poly	CX39.Poly
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	48	67	58	43	74	30	42	20	41	56	0	0
1600025M17Rik	0	0	0	0	4	0	0	0	0	0	1	1
1600029I14Rik	0	0	0	0	0	0	2	0	0	0	1	0
1600029O15Rik	2	2	4	2	6	4	4	5	2	2	8	10
1700001C19Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700001D01Rik	0	0	0	0	0	0	1	0	0	1	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	4	5	3	4	4	7	1	2	0	0	3	10
1700001J03Rik	2	0	0	0	0	0	3	0	0	0	0	0
1700001J04Rik	0	0	0	0	0	0	0	1	0	0	0	1
1700001J11Rik	1	2	1	0	1	1	2	1	0	0	0	0
1700001K19Rik	1	0	0	0	5	0	0	0	0	0	0	7
1700001L05Rik	7	5	3	5	6	3	3	7	0	4	17	17
1700001L19Rik	0	2	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	1	2	0	4	5	5	0	2	0	0	8	6
1700001P01Rik	0	1	1	0	4	1	1	2	2	0	1	6
1700003C15Rik	0	0	1	0	1	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	1	1	0	0	0	2	0	1	0	3
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	17	23	11	12	26	7	9	13	10	11	86	90
1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	1	0	0	0	0	3	2
1700006F04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006J14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007E05Rik	3	4	2	0	1	0	1	0	3	0	0	0
1700007F19Rik	0	2	0	0	0	0	0	0	0	0	0	0
1700007J10Rik	26	23	45	36	34	14	30	27	22	37	12	23
1700007K09Rik	2	1	2	1	0	0	1	0	2	0	2	0
1700007K13Rik	0	0	0	1	0	0	0	0	0	0	0	1
1700007L15Rik	25	61	27	24	44	33	25	33	16	31	0	0
1700007P06Rik	0	0	4	0	2	1	0	0	0	0	0	0
1700008F21Rik	780	546	671	742	835	213	250	242	283	286	613	797
1700008I05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	9	11	19	15	20	10	17	19	16	21	0	0
1700008K24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	8	15	9	8	2	2	8	3	8	4	12	21
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	1	0	0	0	0	0	0	0	0	0
1700009J07Rik	0	1	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700009P17Rik	7	0	15	0	10	1	10	8	7	9	3	3
1700010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010B13Rik	0	0	0	0	2	0	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	3	1	2	0	1	0	0	0	1	0	0	0
1700010I14Rik	3	33	33	45	35	39	36	27	30	19	93	112
1700010J16Rik	0	1	0	0	1	0	0	0	0	0	0	0
1700010K24Rik	0	0	0	0	0	0	0	0	0	2	1	2
1700010L04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010N08Rik	2	0	0	0	0	0	0	0	1	0	0	0
1700011A15Rik	0	0	1	0	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	2	0	0	0	0	0	0
1700011H14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700011I03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700011L22Rik	0	2	0	0	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	1	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012C14Rik	0	0	0	0	0	0	0	1	0	0	0	0
1700012E03Rik	0	0	1	0	0	0	0	0	0	0	0	0
1700012I11Rik	0	2	5	0	0	0	0	1	0	0	0	0
1700012L04Rik	1	0	0	0	2	1	0	1	0	0	5	2
1700012P22Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	1	1	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	1	0	0	0	0	0	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700015O11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	6	1	0	1	4	0	1	1	0	1	1	0
1700016D06Rik	6	5	3	3	5	1	4	4	0	5	5	7
1700016G14Rik	2	4	5	0	6	1	4	3	1	3	1	6
1700016G22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016H13Rik	1	0	0	0	0	1	0	0	0	0	4	2
1700016K19Rik	2	0	0	0	0	0	0	0	0	0	0	0
1700016L21Rik	0	2	0	0	1	0	1	0	0	0	0	0
1700016P03Rik	2	1	0	0	0	1	0	0	1	0	1	1
1700017B05Rik	5107	3997	4784	4503	6733	2664	3512	2693	3223	2983	6592	8132
1700017D01Rik	3	1	4	1	1	1	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017I07Rik	1	0	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	1	0	0	0	1	0	0	0	0	0
1700018A04Rik	11	15	41	12	42	12	37	32	20	21	85	97
1700018B08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018C11Rik	1	0	0	0	0	0	0	1	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	5	6	8	4	12	1	3	2	8	1	0	0
1700018M17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	1	0	1	0	2	0	1	0	0	0	1	2
1700019B03Rik	0	1	0	0	0	0	0	0	0	1	0	1
1700019B21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	7	9	14	8	5	10	8	6	8	7	25	30
1700019E08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019G17Rik	13	2	0	0	25	2	1	4	17	18	3	9
1700019G24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019L03Rik	16	12	5	11	13	14	5	10	9	9	21	32
1700019N19Rik	1	0	0	0	3	0	1	0	0	0	1	0
1700019O17Rik	1	0	0	0	0	0	0	0	2	0	0	4
1700020A23Rik	0	0	0	0	0	0	1	0	0	0	5	3
1700020D05Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700020G17Rik	1	2	1	1	2	0	0	0	0	0	0	0
1700020I14Rik	702	637	1063	887	1022	542	1148	850	702	909	1015	1606
1700020L24Rik	0	0	2	0	4	0	0	0	3	3	0	6
1700020M21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700020N01Rik	0	2	1	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700021A07Rik	9	13	12	6	17	5	13	5	7	11	0	0
1700021F05Rik	229	283	224	297	291	236	321	235	215	225	300	349
1700021J08Rik	0	0	2	0	2	0	0	1	1	1	1	2
1700021K19Rik	2484	1773	2284	2418	2756	1902	2176	1667	1575	1771	2402	2721
1700021N21Rik	0	1	0	0	0	0	0	0	0	0	0	0
1700021P04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	1	0	0	0	0	0	0	0	0	0	0
1700022F17Rik	0	0	0	0	0	0	0	1	0	0	0	0
1700022H16Rik	0	3	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	6	3	2	2	1	6	2	2	1	13	17
1700022N22Rik	11	5	6	12	9	5	5	3	0	3	0	0
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700023E05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	1	0	1	0	0	0	0	0	0	0
1700023H06Rik	12	25	22	12	25	15	14	8	11	17	20	36
1700023L04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700024B05Rik	2	1	1	1	0	0	0	0	0	0	0	0
1700024B18Rik	1	0	0	0	0	0	0	0	0	0	0	0
1700024J04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	1	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	2	3	0	0	0	0	0	0	0	2	0	0
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	2	0	0	0	0	0	0	0	0
1700025F24Rik	0	6	2	3	0	1	0	0	0	1	0	0
1700025G04Rik	2	3	12	2	7	3	12	7	7	2	4	10
1700025H01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0	0	3	0	0
1700025N21Rik	0	0	0	0	1	0	0	1	0	0	1	0
1700025N23Rik	31	37	16	22	26	11	18	15	12	22	0	0
1700025O08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700026D08Rik	1	0	0	0	0	0	0	0	3	0	0	0
1700026D11Rik	1	12	6	4	2	5	0	2	0	6	6	8
1700026J12Rik	0	0	0	0	1	0	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	1	0	0	0	0	0	0	0
1700026L06Rik	7	2	23	11	25	10	20	22	19	22	9	9
1700027A07Rik	0	0	0	0	1	0	0	0	0	0	0	2
1700027A15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	0	1	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700028B04Rik	3	2	5	1	1	0	2	1	1	5	0	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	3	16	0	2	10	0	4	3	2	0	0	0
1700028I16Rik	1	0	0	0	0	0	0	0	0	0	0	0
1700028J19Rik	18	5	16	13	16	15	12	4	5	6	23	32
1700028K03Rik	5	10	3	1	0	2	3	0	1	4	4	4
1700028M03Rik	0	0	0	0	0	0	1	0	0	0	0	0
1700028N14Rik	0	2	3	0	7	0	2	2	1	3	3	4
1700028P14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029E06Rik	1	1	4	1	0	1	1	1	3	2	0	0
1700029F12Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	3	0	0	0	0	0	0	0	0	1
1700029I15Rik	0	0	6	0	1	2	4	2	10	1	1	1
1700029J03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	23	20	26	22	28	5	21	16	23	16	28	36
1700029M03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029M20Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030C10Rik	0	0	0	0	0	0	0	0	0	0	2	2
1700030C12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030C14Rik	0	0	0	0	1	0	0	0	0	3	0	0
1700030F04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	4	2	1	2	11	4	12	2	4	0	7	9
1700030K09Rik	380	308	305	363	491	242	324	232	275	221	485	529
1700030L20Rik	1	2	3	0	5	0	0	0	1	2	0	0
1700030M09Rik	1	0	2	0	1	0	0	0	0	0	0	0
1700030N03Rik	4	1	0	0	1	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700031A10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031F05Rik	0	1	0	0	0	0	0	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	2	0	0	0	0	0	0	0	0
1700034B16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	11	12	4	15	15	8	5	5	4	9	19	18
1700034I23Rik	7	4	1	1	3	3	0	0	0	0	9	11
1700034J05Rik	2	1	2	0	0	0	4	1	0	0	0	1
1700034K08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034P13Rik	158	162	238	252	301	203	242	176	234	220	0	0
1700036A12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	139	110	88	87	93	58	61	56	59	71	155	200
1700037F24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700037H04Rik	825	712	634	739	1134	626	637	444	600	617	1317	1362
1700039E15Rik	2	0	2	0	2	0	3	2	0	0	0	0
1700039E22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700039M10Rik	0	0	0	2	0	1	0	0	0	1	0	0
1700040D17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700040F17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	41	26	19	10	36	20	40	24	16	13	28	29
1700041G16Rik	0	1	1	2	1	0	2	1	3	0	0	0
1700041M05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	1	0	0	0	0	0	0	0	0	0	0	0
1700042O10Rik	0	0	1	0	0	3	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700047A11Rik	0	1	1	0	6	0	2	0	2	0	1	1
1700047F07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700047G03Rik	0	1	0	0	0	0	0	2	0	0	0	0
1700047I17Rik2	50	40	60	58	67	35	69	64	69	69	41	51
1700047K16Rik	2	4	1	1	1	2	7	0	0	2	5	5
1700047L14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700047M11Rik	0	0	0	2	0	0	0	0	1	0	0	0
1700048M11Rik	3	0	2	0	9	4	6	5	1	0	0	0
1700048O20Rik	69	64	13	80	88	130	16	8	54	52	120	139
1700049E15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik1	1	0	0	0	0	1	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0	0	0	0	0
1700049G17Rik	133	98	124	141	154	80	104	76	87	123	203	265
1700049J03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700049L16Rik	2	0	0	0	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700052I22Rik	1	2	0	0	0	0	0	0	0	0	0	0
1700052K11Rik	78	49	105	80	130	42	59	81	71	39	0	0
1700052N19Rik	1073	784	795	832	958	651	801	684	628	590	972	1336
1700054A03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	1	0	0	0	0	0	2	0	0	0	0	0
1700054M17Rik	1	3	3	2	2	2	0	0	4	3	0	0
1700055C04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700055D18Rik	10	15	7	12	12	7	8	4	11	8	2	1
1700055N04Rik	37	109	101	32	127	67	112	91	101	86	15	13
1700056E22Rik	0	0	3	0	0	0	2	1	0	5	1	0
1700056N10Rik	4	3	6	3	4	3	6	3	1	6	6	7
1700057G04Rik	0	0	0	0	1	1	0	0	0	0	2	2
1700057H15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700058P15Rik	5	0	1	0	0	1	0	0	0	2	10	21
1700060C16Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700060C20Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700060J05Rik	0	2	6	2	6	0	0	0	0	5	2	10
1700061E18Rik	0	0	1	0	0	0	0	0	3	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700061G19Rik	1	5	1	3	3	0	2	2	2	3	16	13
1700061H18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700061I17Rik	0	0	0	0	0	0	1	0	0	0	0	0
1700061J23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700063D05Rik	13	9	18	9	9	5	11	5	5	5	0	0
1700063H04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700063H06Rik	1	0	0	0	0	0	0	0	0	0	0	0
1700063K16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700064H15Rik	11	37	12	13	13	22	15	8	2	14	23	26
1700064J06Rik	0	0	1	0	0	0	0	1	0	0	0	0
1700064M15Rik	0	2	0	0	0	0	0	0	0	0	0	0
1700065D16Rik	4	0	4	2	3	2	4	4	3	5	17	13
1700065I16Rik	0	0	3	0	0	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700066B19Rik	10	14	1	6	7	9	6	2	5	11	6	8
1700066C05Rik	1	0	2	0	3	1	0	0	0	0	0	0
1700066M21Rik	112	73	162	152	149	110	156	108	83	157	228	329
1700066O22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700067K01Rik	6	8	1	3	6	3	6	8	2	6	10	22
1700067P10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700069B07Rik	2	0	0	0	0	0	0	0	0	0	4	5
1700069L16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700071G01Rik	3	1	0	2	0	0	0	0	0	0	3	7
1700071K01Rik	2	1	0	0	0	6	3	1	10	0	1	0
1700071M16Rik	0	0	0	0	0	0	1	2	0	0	1	2
1700072B07Rik	0	1	0	0	0	0	0	0	0	0	0	0
1700073E17Rik	0	0	0	2	0	0	0	0	0	0	1	2
1700074H08Rik	0	1	0	0	0	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700080G11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700081H04Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700082M22Rik	16	14	13	13	18	9	11	6	5	13	30	59
1700084C01Rik	2	2	0	0	0	0	0	0	0	0	0	0
1700084C06Rik	3	1	2	0	0	5	0	0	2	1	5	7
1700084E18Rik	4	9	4	4	12	3	1	4	5	4	4	3
1700084F23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700084J12Rik	21	9	20	25	13	16	24	32	24	17	15	48
1700084M14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700086L19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700086O06Rik	17	32	22	9	37	14	14	2	14	19	0	0
1700086P04Rik	1	4	2	7	7	2	0	1	4	0	2	3
1700088E04Rik	1	7	3	3	5	0	2	3	0	2	1	1
1700091H14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700092C10Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700092C17Rik	0	0	0	0	0	0	4	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700092M07Rik	3	3	9	3	5	1	2	1	3	5	5	5
1700093J21Rik	0	0	0	0	1	0	0	0	0	0	0	0
1700093K21Rik	1	0	0	0	2	0	0	0	0	0	1	2
1700094J05Rik	0	1	0	0	0	0	1	0	0	0	0	0
1700095A21Rik	0	0	1	0	1	0	0	0	0	0	6	0
1700095B10Rik	0	0	0	0	0	0	1	0	0	0	0	0
1700095J03Rik	0	0	0	0	2	0	0	0	0	0	0	0
1700095J07Rik	3	3	3	5	4	5	4	1	5	3	1	7
1700095J12Rik	0	1	0	0	4	0	3	1	0	0	7	13
1700096K18Rik	9	24	18	13	14	6	2	11	14	15	0	0
1700097N02Rik	2	4	9	3	8	9	28	14	4	22	0	0
